411D;411A;-115;0;5.733219;45.190415;0
411D;411B;-116;0;5.733219;45.190415;0
411D;411C;-94;0;5.733219;45.190415;0
411D;411A;-112;1;5.735885;45.187985;0
411D;411B;-114;1;5.735885;45.187985;0
411D;411C;-103;1;5.735885;45.187985;0
411D;411A;-110;2;5.738624;45.185794;0

411D;411B;-112;2;5.738624;45.185794;0


411D;411C;-108;2;5.738624;45.185794;0


411D;411A;-106;3;5.741611;45.183316;0

411D;411B;-108;3;5.741611;45.183316;0

411D;411C;-112;3;5.741611;45.183316;0
411D;411A;-100;4;5.742447;45.179882;0

411D;411B;-107;4;5.742447;45.179882;0


411D;411C;-115;4;5.742447;45.179882;0
